S. No.,Name,Desc,Gender
162,Amulya,priceless,M
163,Anadi ,eternal Anal fire ,M
164,Anamitra ,the usn,M
165,Anand,bliss,M
166,"Ananda, Anand ",joy; happiness ,M
167,"Ananga, Anang ",name of Cupid or Kamadeva ,M
168,Ananmaya ,one who cannot be broken ,M
169,Anant,infinite,M
170,"Ananta, Anant ",infinite ,M
171,Anantram,eternal god,M
172,Anarghya ,priceless ,M
173,Anbarasu ,king of love ,M
174,Anbu ,"love, kindness ",M
175,Anbuchelvan ,"kind, king of love ",M
176,Anbumadi ,kind and intelligent ,M
177,Angad ,an ornament ,M
178,Angada,"bracelet, brother of Wali and Sugreev",M
179,Angamuthu ,made of pearls ,M
180,Anil,god of wind,M
181,"Animish, Animesh ",open-eyed therefore attractive ,M
182,Anirudhha,cooperative,M
183,Anirvan ,undying ,M
184,Anisa ,Supreme ,M
185,Anish,supreme,M
186,Aniteja ,Immeasurable splendour ,M
187,Anjasa ,"guileless, deceitless ",M
188,Anjum ,a token ,M
189,Anjuman ,a token; a symbol ,M
190,Ankit,conquered,M
191,Ankur,sprout,M
192,Ankush ,check; an instrument used for guiding elephants ,M
193,Anmol ,priceless ,M
194,Anoop,"incomparable, the best",M
195,Anshu ,the sun ,M
196,Anshul,radiant,M
197,Anshuman,Sun,M
198,Anshumat ,luminous ,M
199,Anu ,an atom ,M
200,Anugya ,authority ,M
201,Anuha ,satisfied ,M
202,Anuj ,younger brother ,M
203,Anunay ,supplication; consolation ,M
204,"Anup, Anoop ",without comparison ,M
205,Anupam,incomparable,M
206,Anurag,"attachment, devotion, love",M
207,"Anurag, Anuraag ",love ,M
208,Anuttam ,unsurpassed ,M
209,Anwar ,devote of God ,M
210,Apoorva,quite new,M
211,Apparajito ,undefeated ,M
212,"Apurva, Apoorva ",unique ,M
213,Arav ,peaceful ,M
214,Aravali ,righteous ,M
215,Aravan ,righteous ,M
216,Archan ,worship ,M
217,Archit ,worshipped ,M
218,Ardhendu ,half moon ,M
219,Arghya ,offering to the Lord ,M
220,Arham ,the word is just like OM for Jain community,M
221,Arhant ,destroyer of enemies ,M
222,Arihant,one who has killed his enemies,M
223,Arijit ,"conquering enemies, son of Krishna and Subhadra ",M
224,Arindam ,destroyer of enemies ,M
225,Arivalagan ,intelligent and handsome ,M
226,Arivali ,"smart, intelligent ",M
227,Arivarasu ,king of wisdom ,M
228,Arivoli ,glowing with intelligence ,M
229,Arivuchelvan ,one whose wealth is his wisdom ,M
230,Arivumadhi ,intelligent ,M
231,Arivumani ,intelligent jem ,M
232,Arivunambi ,confident and intelligent ,M
233,Arjit ,earned ,M
234,Arjun,peacock,M
235,Arka ,the sun ,M
236,Arnav,"ocean, sea",M
237,Arnesh ,lord of the sea ,M
238,Arokya ,very pious ,M
239,Arshad ,pious ,M
240,Arul ,"gods grace, gods blessing ",M
241,Arulchelvan ,blessed ,M
242,Arumugan ,lord murugan ,M
243,Arun,sun,M
244,"Arun, Aroon ",mythical charioteer of the sun; dawn ,M
245,Aruni ,name of a devoted pupil ,M
246,Arvind,lotus,M
247,"Arvinda, Arabinda ",lotus ,M
248,Arya ,"honoured, noble ",M
249,Aryaman ,the sun ,M
250,"Asao, Asav ",essence ,M
251,Asgar ,devotee ,M
252,Ashis ,benediction ,M
253,Ashok,one without sorrow,M
254,Ashraf ,without grief ,M
255,Ashu ,quick ,M
256,Ashutosh ,Lord Shiva ,M
257,Ashvin,a cavalier,M
258,Ashwatthama,fiery tempered,M
259,"Ashwin, Asvin ",a Hindu month ,M
260,Ashwini,one of the constallations,M
261,"Asit, Ashit ",the planet ,M
262,Aslesh ,embrance ,M
263,Atal ,immoveable ,M
264,Atanu ,Cupid ,M
265,Atiya ,to surpass ,M
266,Atma ,soul ,M
267,Atmaja ,son ,M
268,Atmajyoti,light of soul,M
269,Atmananda ,bliss of soul ,M
270,Atralarasu ,skilled king ,M
271,Atreya ,receptacle of glory ,M
272,Atul,matchless,M
273,"Atul, Atulya ",matchless ,M
274,Atulya,"unweighable, incomparable",M
275,Avadhesh ,King Dasaratha ,M
276,Avanindra,king of the earth,M
277,Avanish,god of the earth,M
278,Avatar ,incarnation ,M
279,Avikshit ,not see before ,M
280,Avinash,indestructible,M
281,Avkash ,limitless space Avatar incarnation ,M
282,Ayog ,institution ,M
283,Ayushman ,blessed with long life ,M
284,Ayyapan ,ever youthful ,M
285,Badal ,cloud; rain,M
286,Badri ,Lord Vishnu,M
287,Badrinath,Lord of Mt.Badri,M
288,Badriprasad,goft of Badri,M
289,Bahubali ,a Jain Tirthakar,M
290,Bahuleya ,Lord Kartikeya,M
291,Bahumanya,honoured by many,M
292,Bahurai,with great riches,M
293,Bajrang ,a name of Lord Hanuman,M
294,Bakhtawar,one who brings good luck,M
295,Balaaditya,young sun,M
296,Balachandra,young moon,M
297,Balachandrav,the crescent moon,M
298,Baladhi,deep insight,M
299,Baladhitya,the newly risen sun,M
300,Balagovind ,baby Krishna,M
301,Balaji,a name of Vishnu,M
302,Balakrishna,young krishna,M
303,Balakumar,youthful,M
304,Balamani,young jewel,M
305,Balamohan,one who is attractive,M
306,Balamurugan,young lord murugan,M
307,Balan,youthful,M
308,Balanath,lord of strength,M
309,Balaraj ,strong,M
310,Balaram ,the brother of Lord Krishna,M
311,Balaravi,the morning sun,M
312,Balbir ,strong,M
313,Baldev,godlike in power,M
314,Balgopal ,baby krishna,M
315,Balram,Krishna's brother,M
316,"Balvindra, Balvinder ",strong,M
317,Balwant ,strong,M
318,Banbihari ,Lord Krishna,M
319,Bandhu ,friend,M
320,Bandhul ,pleasing,M
321,Bankebihari ,Lord Krishna,M
322,Bankim ,curved,M
323,Bankimchandra ,crescent moon,M
324,Bansi,flute,M
325,Bansilal ,Lord Krishna; the first lord; Lord Vishnu,M
326,Barid ,cloud,M
327,Baridbaran ,colour of the cloud,M
328,Barindra ,the ocean,M
329,Barun ,Lord of the Sea,M
330,Basanta ,spring,M
331,Basavaraj,lord of bulls,M
332,Basistha ,a sage,M
333,Basudha ,earth,M
334,Bhadrak,handsome,M
335,Bhadraksh,one with beautiful eyes,M
336,Bhadrang,beautiful body,M
337,Bhadranidhi,treasure of goodness,M
338,Bhagaditya,the sun which bestows wealth,M
339,Bhagat,devotee,M
340,Bhagirat,with glorious chariot,M
341,Bhagirath,one who brought Ganga on earth,M
342,Bhagwant ,fortunate,M
343,Bhagyanandana,controller of destiny,M
344,Bhairav ,Lord Shiva,M
345,Bhajan ,adoration,M
346,Bhanu,sun,M
347,Bhanudas ,a devotee of the sun,M
348,Bhanuprasad,gift of sun,M
349,Bharadwaj,a lucky bird,M
350,Bharat,"India, universal monarch",M
351,Bhargava ,Lord Shiva,M
352,Bhargyaraj ,lord of luck,M
353,Bhaskar,sun,M
354,Bhaumik ,attached to the earth,M
355,Bhavamanyu,creator of universe,M
356,Bhavesh,lord of the world,M
357,Bhim,fearful,M
358,Bhishma ,one who has taken a terrible vow,M
359,Bhojaraja,lord of generosity,M
360,Bhooshan ,decoration,M
361,Bhooshit ,decorated,M
362,Bhudev,lord of the earth,M
363,Bhumi,earth ,M
364,Bhupathi,lord of the earth,M
365,Bhupen,king,M
366,Bhupendra,king of kings,M
367,Bhushan,ornament,M
368,Bhuvan,"palace, one of the three worlds",M
369,Bhuvanesh,lord of the worlds,M
370,Bibek ,conscience,M
371,Bibhas ,a raga,M
372,Bibhavasu ,the sun; fire,M
373,Bijal ,lightning,M
374,Bikram ,prowess,M
375,Bilva ,a sacred leaf,M
376,Bimal ,pure,M
377,Bindusar,an excellent pearl,M
378,Bipin,forest (Vipin),M
379,Birbal,brave heart,M
380,Bitasok ,one who does not mourn,M
381,Bodhan ,kindling,M
382,Boudhayan ,the name of a sage,M
383,Brahmabrata ,ascetic,M
384,Brahmadutt ,dedicated to Lord Brahma,M
385,Bratindra ,devoted to right deeds,M
386,Brijesh,god of the land of Brij,M
387,Brijmohan,Krishna,M
388,Buddhadev,wise person,M
389,Buddhadeva ,Gautama Buddha,M
390,Budhil ,learned,M
391,Bukka ,"heart, loving, sincere",M
392,Chaitanya,"life, knowledge",M
393,Chakor ,a bird enamoured of the moon,M
394,Chakradev ,Lord Vishnu,M
395,Chakradhar ,Lord Vishnu,M
396,Chakrapani ,Lord Vishnu,M
397,Chakshu ,eye,M
398,Chaman,garden,M
399,Chamanlal ,garden,M
400,Champak ,a flower,M
401,Chanakya,son of chanaka,M
402,Chanchal ,restless,M
403,Chandak ,the moon,M
404,Chandan,sandalwood,M
405,Chandra,moon,M
406,Chandrabhan ,the moon,M
407,Chandrachur ,Lord Shiva,M
408,Chandrahas,bow of Shiva,M
409,Chandrak,peacock feather,M
410,Chandrakanta ,the moon,M
411,Chandrakiran,moonbeam,M
412,Chandrakirthi,as famous as the moon,M
413,Chandrakishore ,the moon,M
414,Chandrakumar ,the moon,M
415,Chandramohan ,attractive like the moon,M
416,Chandran ,the moon,M
417,Chandranath ,the moon,M
418,Chandraprakash,moonlight,M
419,Chandraraj ,moonbeam,M
420,Chandrashekar ,Lord Shiva,M
421,Chandrashekhar,one who holds moon in his hair knot (Shiva),M
422,Chandratha,nectar of the moon,M
423,Chandresh,lord of the moon,M
424,Chandrodaya,moonrise,M
425,Chanyana,moon,M
426,Chapal,quick,M
427,Charan,feet,M
428,Charanjit,one who has won over the lord (Charanjeet),M
429,Charu,"agreeable, charming, genteel",M
430,Charudatta,born with beauty,M
431,Charudutta,born of beauty,M
432,Charuvardhana,one who enhances beauty,M
433,Charuvindha,striving for beauty,M
434,Chaturbhuj,four armed,M
435,Cheliyan,"rich, resourceful, prosperous",M
436,Chellamani,precious gem,M
437,Chellamuthu,precious pearl,M
438,Chellapan,precious,M
439,Chemmal,"premier, best",M
440,Chetan,life,M
441,Chetana ,"perceptive, consciousness",M
442,Chevatkodiyon,Lord Murugan,M
443,Chhandak ,the charioteer of Lord Buddha,M
444,Chidambar,one whose heart is as big as the sky,M
445,Chidambaram,home of Lord Shiva,M
446,Chidananda ,Lord Shiva,M
447,Chiman ,curious,M
448,Chinmay,full of knowledge,M
449,Chinmayananda ,"blissful, supreme consciousness",M
450,Chinnadurai,prince,M
451,Chintamani,philosopher's stone,M
452,Chintan,thought,M
453,Chinthanaichelvan,"Intelligent, thoughtful",M
454,Chintya,worthy of thought,M
455,Chirag,lamp,M
456,Chiranjeev,longlived,M
457,Chirantan ,immortal,M
458,Chirayu ,immortal,M
459,Chirtrang,with multicolored body,M
460,Chithayu,born of intellect,M
461,Chitrabhanu ,fire,M
462,Chitragupta,secret picture,M
463,Chitraksh,beautiful eyed,M
464,Chitral ,of variegated colour,M
465,Chitrarath ,the sun,M
466,Chitrasen ,a king of Gandharvas,M
467,Chitresh ,"moon, wonderful lord",M
468,Chitta ,mind,M
469,Chittaprasad,happiness,M
470,Chittaranjan,one who pleases the mind,M
471,Chittaswarup,the supreme spirit,M
472,Chittesh ,lord of the soul,M
473,Chudamani,crest jewel,M
474,Dabeet ,warrior,M
475,Daha ,"Blazing, very bright ",M
476,Daivya ,Divine ,M
477,Daiwik ,By the grace of God ,M
478,Daksha,"able, talented",M
479,Dakshesh,Shiva,M
480,Dakshi ,The glorious ,M
481,Dakshina,donation to god,M
482,Dalajit,winning over a group,M
483,Dalapathi,leader of a group,M
484,Dalbhya,belonging to wheels,M
485,Daman ,one who controls,M
486,Damian ,tamer,M
487,Damodar,with a rope around the waist,M
488,Danuj,"born of danu, a danava",M
489,Danvir,charitable ,M
490,Darpak,"Kamdev, god of love",M
491,Darpan ,a mirror,M
492,Darshan ,"paying respect, religious text",M
493,Daruka,deodar tree,M
494,Dasharath ,the father of Lord Rama,M
495,Dasharathi ,Lord Rama,M
496,Dasmaya,beautiful,M
497,Dattatreya,"a son of Atri, a god",M
498,Dayada,"son, inheritor",M
499,Dayakara,compassionate,M
500,Dayanand,one who likes being merciful,M
501,Dayanidhi,treasure house of mercy,M
502,Dayasagara,ocean of compassionate,M
503,Dayashankar,merciful Lord Shiva,M
504,Debashis ,benediction of god,M
505,Debashish,pleased by gods,M
506,Deenabandhu ,friend of the poor,M
507,Deep ,a lamp,M
508,Deepak,"lamp, kindle",M
509,Deepan ,lighting up,M
510,Deepankar,one who lights lamps,M
511,Deependra,lord of light,M
512,Deependu ,bright moon,M
513,Deepesh ,lord of light,M
514,Deepit ,lighted,M
515,Deeptanshu ,the sun,M
516,Deeptendu ,bright moon,M
517,Deeptiman ,lustrous,M
518,Deeptimoy ,lustrous,M
519,Dev ,"God, king",M
520,Dev Kumar ,son of gods,M
521,Devabrata ,a name of Bhisma,M
522,Devachandra,moon among the gods,M
523,Devadarshan,familiar with gods,M
524,Devadas ,follower of God,M
525,Devadatta,god given,M
526,Devadhipa,lord of the gods,M
527,Devadutt,gift of god,M
528,Devadyumna,glory of the gods,M
529,Devajyoti ,brightness of the Lord,M
530,Devak ,divine,M
531,Devakantha,beloved of the gods,M
532,Devamadana,gladdening the gods,M
533,Devanand,joy of god,M
534,Devang,from god ,M
535,Devaraj,king of the gods,M
536,Devarpana,offerings to the gods,M
537,Devarsi,sage of the Devas,M
538,Devarya,divine belief,M
539,Devdas,servant of god,M
540,Devdutta ,king,M
541,Devendra,king of gods,M
542,Devesh,god of gods,M
543,Deveshwar ,Lord Shiva,M
544,Devilal,son of godess,M
545,Deviprasad,gift of godess,M
546,Devnarayan ,king,M
547,Devnath ,King of gods,M
548,Devraj,king of gods,M
549,Devya,devine power,M
550,Dhanajit,wealth,M
551,Dhananjay,one who wins wealth,M
552,Dhanesh,lord of wealth,M
553,Dhanraj ,Lord Kuber,M
554,Dhansukh ,wealthy; happy,M
555,Dhanvant ,wealthy,M
556,Dharanidhar ,Shesh - the cosmic serpent,M
557,Dharendra,king of the earth,M
558,Dharma,law (religious),M
559,Dharmachandra,moon of dharma,M
560,Dharmadas ,one who serves his religion,M
561,Dharmadev,lord of law,M
562,Dharmaditya,son of dharma,M
563,Dharmanand ,one who takes pleasure in his religion,M
564,Dharmendra,king of religion,M
565,Dharmendu ,light of religion,M
566,Dharmesh,master of religion,M
567,Dharmpal ,protector of his religion,M
568,Dharmveer ,religious,M
569,Dhaval,fair complexioned,M
570,Dhavalachandra,white moon,M
571,Dhawal ,white,M
572,Dheeman ,intelligent,M
573,Dheemant ,wise; intelligent,M
574,Dheer ,gentle,M
575,Dheeran ,achiever ,M
576,Dheerendra ,god of courage,M
577,Dheivamani ,blessed gem ,M
578,Dhevan ,godly ,M
579,Dhevaneyan ,pious ,M
580,Dhikshit,initiated,M
581,Dhinakar,the sun,M
582,Dhinanta,evening,M
583,Dhipin,exciting,M
584,Dhiraj ,emperor,M
585,Dhiren,one who is strong,M
586,Dhirendra,lord of the brave,M
587,Dhritiman ,patient,M
588,Dhruv,pole star,M
589,Dhvanya,suggested meaning,M
590,Dhwani ,sound,M
591,Dhyana,meditation,M
592,Dhyanesh ,meditative,M
593,Digamber,nacked,M
594,Dilawar ,brave,M
595,Dilip,"a king, ancestor of Rama",M
596,Dinanath ,protector,M
597,Dinapati ,the sun,M
598,Dinar ,gold coin,M
599,Dindayal ,kindto the poor,M
600,Dinesh,"sun, god of the day",M
601,Dinkar,sun,M
602,Divakar,sun,M
603,Divyanga ,divine body,M
604,Divyendu,bright moon,M
605,Divyesh,sun,M
606,Drupad ,"a king, father of Draupadi",M
607,Dulal ,dear one,M
608,DuraiMurugan ,Lord Murugan ,M
609,Duranjaya,a heroic son,M
610,Durjaya,difficult to conquer,M
611,Dushyanta ,a king from the epic Mahabharata,M
612,Dwaipayan ,the sage Vyasa,M
613,Dwijaraj ,king of Brahmins; the moon,M
614,Dwijendra ,king of Brahmins; the moon,M
615,Dwijesh ,river,M
616,Dyumani,lord Shiva,M
617,Dyutit,illuminated,M
618,Edhas,happiness,M
619,Edi,herb,M
620,Ednit,evolved,M
621,Eeshwar,god,M
622,Egaiarasu,king of charity,M
623,Eha,lord Vishnu,M
624,Ehimay,all pervasive,M
625,Eka,lord Vishnu,M
626,Ekachandra,the only moon,M
627,Ekachith,with one mind,M
628,Ekagrah,focused,M
629,Ekaksha,lord Shiva,M
630,Ekalavya ,renowned for his devotion to his guru,M
631,Ekalinga,. Shiva,M
632,Ekambar ,sky,M
633,Ekana,lord Vishnu,M
634,Ekanath ,king,M
635,Ekanga,. bogyguard,M
636,Ekansh,whole,M
637,Ekapad,lord Shiva,M
638,Ekaraj,emperor,M
639,Ekatan,closely attentive,M
640,Eknath,". poet, saint",M
641,Ekram ,honour,M
642,Elango,"prince, author of tamil masterpiece Silappadhikaram",M
643,Elil,handsome,M
644,Elilarasan,"handsome, king of beauty",M
645,Elilarasu,"handsome, king of beauty",M
646,Elilvendan,"handsome, king of beauty",M
647,Ellu,sesame seed considered sacred,M
648,Elumalai,"lord Venkateshwara, lord of seven hills",M
649,Eshwar ,Lord Shiva,M
650,Etash,luminous,M
651,Evyavan,lord Vishnu,M
652,Faakhir,proud; excellent,M
653,Faaris,horseman; knight,M
654,Faarooq,one who distinguishes truth from falsehood ,M
655,Fadi,the redeemer ,M
656,Fadl,outstanding; honourable,M
657,Fadl Ullah ,excellence of God,M
658,Fahad,lynx ,M
659,Faisal,decisive ,M
660,Faiyaz ,artistic,M
661,Faiz ,gain,M
662,Fakhry ,honorary,M
663,Falak ,the sky,M
664,Falgu ,lovely,M
665,"Falguni, Phalguni ","born in Falgun, a Hindu month; Arjun",M
666,Fanibhusan ,Lord Shiva,M
667,Fanindra ,the cosmic serpent Shesh,M
668,Fanish ,the cosmic serpent Shesh,M
669,Fanishwar ,"lord of serpents, Vasuki",M
670,Faraz ,equitable,M
671,Fareed ,unique,M
672,Farhad ,happiness,M
673,Farhat ,happiness,M
674,Farid ,wide,M
675,Faris ,"ability to discern, perspicacity",M
676,"Farukh, Farokh ",power of discrimination,M
677,Fateen ,"clever, smart",M
678,Fateh ,victory,M
679,Fatik ,crystal,M
680,Fawaz ,successful,M
681,Fidaa ,sacrifice,M
682,Firdaus ,paradise,M
683,Firoz ,name of a king,M
684,Fravash ,guardian angel,M
685,Fuad ,heart,M
686,Gagan,"sky, heaven",M
687,Gaganvihari,one who stays in heaven,M
688,Gajanan,one with elephant face,M
689,Gajanand ,Lord Ganesh,M
690,Gajendra,elephant king,M
691,Ganaka,one who calculates,M
692,Ganapati ,Lord Ganesh,M
693,Ganaraj,lord of the clan,M
694,Gandesha,lord of fragrance,M
695,Gandhar,fragrance,M
696,Gandharaj,king of fragrance,M
697,Gandharva,celestial musician,M
698,Gandhik ,fragant,M
699,Gandira,hero,M
700,Ganendra,lord of a troop,M
701,Ganesh ,son of Lord Shiva & Parvati,M
702,Gangadhar,"holding the ganga, lord shiva",M
703,Gangadutt,gift of Ganga,M
704,Gangesh ,Lord Shiva,M
705,Gangeya ,of the Ganga,M
706,Gangol ,a precious,M
707,Ganjan,surpassing,M
708,Garisht,heaviest,M
709,Gaurang,fair complexioned,M
710,Gaurav,"honour, pride, respect",M
711,Gaurinath ,Lord Shiva,M
712,Gautam ,Lord Buddha,M
713,Gavisht,abode of light,M
714,Gayak,singer,M
715,Gayan,sky,M
716,Geet,song,M
717,Ghalib ,excellent,M
718,Ghanashyam ,Lord Krishna,M
719,Giri ,mountain,M
720,Giridari ,Lord Krishna,M
721,Giridhar,one who holds mountain (Krishna),M
722,Girik ,Lord Shiva,M
723,Girilal,son of mountain,M
724,Girindra ,Lord Shiva,M
725,Giriraj,lord of mountain,M
726,Girish,god of mountain,M
727,Gokul ,a place where Lord Krishna was brought up,M
728,Gopal,"Krishna, cowherd",M
729,Gopan,protection,M
730,Gopesh ,Lord Krishna,M
731,Gopichand ,name of a king,M
732,Gorakh ,cowherd,M
733,Gourishankar ,Mt. Everest,M
734,Govind,cowherd,M
735,Govinda ,Lord Krishna,M
736,Grahish,lord of the planets,M
737,Granthik,"astrologer, narrator",M
738,Grihith,"understood, accepted",M
739,Gudakesha ,the archer Arjuna,M
740,Gulab,rose,M
741,Gulfam ,the colour,M
742,Gulzar ,gardener,M
743,Gulzarilal ,name of Lord Krishna,M
744,Gunalan,filled with virtue,M
745,Gunaratna,jewel of virtue,M
746,Gunayukth,endowed with virtue,M
747,Gunjan ,buzzing of a bee,M
748,Gunwant ,virtuous,M
749,Gupil ,a secret,M
750,Gurbachan,promise of the guru,M
751,Gurcharan,feet of the guru,M
752,Gurdayal,compassionate guru,M
753,Gurdeep,lamp of the guru,M
754,Gurmeet,friend of the guru,M
755,Gurnam,name of the guru,M
756,Gurpreet ,love of the teacher,M
757,Gursharan,refuge at the guru,M
758,Guru,"teacher, master, priest",M
759,Gurudas,servant of the guru,M
760,Gurudutt,gift of the guru,M
761,Gyan ,knowledge,M
762,Gyandev ,lord of knowledge,M
763,Habib ,beloved,M
764,Hafiz ,protected,M
765,Hakesh,lord of sound,M
766,Hamid ,friend,M
767,Hamir ,a raga,M
768,Hans ,swan,M
769,Hansaraj,king of a swan,M
770,Hanuman ,the monkey god of Ramayana,M
771,Hanumant ,the monkey god of Ramayana,M
772,Hardik ,heartfelt,M
773,Harekrishna ,Lord Krishha,M
774,Harendra ,Lord Shiva,M
775,Haresh,Shiva,M
776,Hari,"sun, Vishnu",M
777,Haridas ,servant of Krishna,M
778,Harigopal ,Lord Krishna,M
779,Harihar,Vishu and Shiva together,M
780,Harikanth,dear to Indra,M
781,Harilal,son of Hari,M
782,Harinaksh,Lord Shiva,M
783,Harinarayan ,Lord Vishnu,M
