S. No.,Name,Desc,Gender
784,Hariom ,Lord Vishnu,M
785,Hariprasad ,blessed by Lord Krishna,M
786,Hariraj,king of lions,M
787,Hariram ,Lord Rama,M
788,Harish,Lord Shiva,M
789,Harishankar ,Lord Shiva,M
790,Harishchandra ,"King of Surya dynasty, charitable",M
791,Haritbaran ,green,M
792,Harith,lion,M
793,Harjeet ,victorious,M
794,Harkrishna ,Lord Krishna,M
795,Harmendra ,the moon,M
796,Haroon ,hope,M
797,Harsh,happiness,M
798,Harsha,"joy, delight",M
799,Harshad,one who gives pleasure,M
800,Harshal,lover,M
801,Harshaman,full of joy,M
802,Harshavardhan ,creator of joy,M
803,Harshil ,joyful,M
804,Harshit ,joyous,M
805,Harshul,deer,M
806,Harshvardhan,one who increases joy,M
807,Hashmat ,"glory, joyful",M
808,Hasit ,happy,M
809,Hassan ,an Islamic,M
810,Heer ,diamond,M
811,Hem ,gold,M
812,Hemachandra,golden moon,M
813,Hemadri,mountain of gold,M
814,Hemamdar ,golden creeper,M
815,Heman,"golden yellow, made of gold",M
816,Hemang,one with shining body,M
817,Hemanga ,goldenbodied,M
818,Hemant,early winter,M
819,Hemaraj,king of gold,M
820,Hemendra,lord of gold,M
821,Hemendu ,golden moon,M
822,Heramba,"boastful, name of Ganapati",M
823,Himachal ,the Himalayas,M
824,Himadri ,Himalaya,M
825,Himaghna ,the sun,M
826,Himanshu ,the moon,M
827,Himmat ,courage,M
828,Himnish ,Lord Shiva,M
829,Hiranmay ,golden,M
830,Hiranya,wealth,M
831,Hirendra ,Lord of diamonds,M
832,Hiresh,king of gems,M
833,Hitendra ,well-wisher,M
834,Hriday ,Heart,M
835,Hridayanand,joy of the heart,M
836,Hridayesh,king of heart,M
837,Hridaynath,beloved,M
838,Hridik ,"lord of the heart, beloved",M
839,Hriman ,wealthy,M
840,Hrishikesh,one who controls senses,M
841,Hritish ,lord of heart,M
842,Hurditya,joyous,M
843,Hussain ,"Islamic thinker, saint",M
844,Ibhanan,elephant faced,M
845,Ibhya,possessor of many attendants,M
846,Ibrahim ,Abraham; earth,M
847,Idris ,fiery Lord,M
848,Iham ,expected,M
849,Ihit ,prize; honour,M
850,Ikshu,sugarcane,M
851,Ilaiyavan,Youthful,M
852,Ilamporai,Prince,M
853,Ilamurugu,young lord Murugan,M
854,Ilancheliyan,Full of youthful potential,M
855,Ilandevan,young master,M
856,Ilango,Chera Prince who wrote Tamil masterpiece Silappadhikaram,M
857,Ilanthirayan,Young man whose influence extends beyond the seas,M
858,Ilavalagan,Young and handsome,M
859,Ilavarasan,Prince,M
860,Ilavenil,brilliant,M
861,Ilesh,lord of earth,M
862,Iman ,name of raga,M
863,Imaran ,strong,M
864,Imtiaz ,power of discrimination,M
865,Inakanta,beloved of sun,M
866,Inbanathan,happy,M
867,Indeever,blue lotus,M
868,Indivar ,blue lotus,M
869,Indra,"excellent, first",M
870,Indradutt,gift of Indra,M
871,Indrajeet ,conqueror,M
872,Indrajit,conquerer of Indra,M
873,Indrakanta ,Lord Indra,M
874,Indraneel,emerald,M
875,Indrasena,the army of Indra,M
876,Indrasuta,son of Indra,M
877,Indratan,as strong as Indra,M
878,Indubhushan ,the moon,M
879,Induhasan ,like a moon,M
880,Indukanta ,like a moon,M
881,Indulal ,moon's lustre,M
882,Indumat,respected by moon,M
883,Indushekhar ,like a moon,M
884,Inesh,a strong king,M
885,Iniyavan,pleasant natured,M
886,Intekhab ,chosen,M
887,Iqbal ,desire,M
888,Iraiyavan,blessed by the supreme,M
889,Irfan ,knowledgable,M
890,Iri,"Hanuman, son of wind god",M
891,Irshaad ,signal,M
892,Irya,powerful,M
893,Isaiarasu,king of music,M
894,Isaivalan,skilled musician,M
895,Isar ,eminent; Lord Shiva,M
896,Ishan,sun,M
897,Ishrat ,affection,M
898,Ishwar,"powerful, the supreme god",M
899,Itish,such a lord,M
900,Iyyappan,"Lord Iyyappan, youthful",M
901,Izhar ,submission,M
902,Jadhav,a yadava,M
903,Jag ,the universe,M
904,Jagachandra,moon of the universe,M
905,Jagad,universe,M
906,Jagadayu,life spring of the universe,M
907,Jagadbandu ,Lord Krishna,M
908,Jagadeep,light of the world,M
909,Jagadev,lord of the world,M
910,Jagadhidh,lord of the world,M
911,Jagadip,lamp of the universe,M
912,Jagadish ,lord of the universe,M
913,Jagajeet,conquerer of the world,M
914,Jagajeevan,life of the world,M
915,Jagan,universe. world,M
916,Jaganmay ,spread over the universe,M
917,Jagannath,lord of the world,M
918,Jagath,the universe,M
919,Jagesh,lord of the world,M
920,Jagjeevan ,worldly life,M
921,Jagmohan,one who attracts the world,M
922,Jahan ,the world,M
923,Jai,conqueror,M
924,Jaichand ,victory of the moon,M
925,Jaidayal ,victory of kindness,M
926,Jaidev,god of victory,M
927,Jaigath,victorious,M
928,Jaigopal ,victory of Lord Krishna,M
929,Jaikrishna ,victory of Lord krishna,M
930,Jaimini ,an ancient philosopher,M
931,Jainarayan ,victory,M
932,Jaipal ,Lord Brahma,M
933,Jairaj ,lord of victory,M
934,Jaisal ,famous folk,M
935,Jaishankar ,victory of Lord Shiva,M
936,Jaisukh ,joy of winning,M
937,Jaitra,leading to vitory,M
938,Jaiwant ,victory,M
939,Jalad,giving water,M
940,Jalal ,glory,M
941,Jalendra,lord of the water,M
942,Jalendu ,moon in the water,M
943,Jalil ,revered,M
944,Jalindra,lord of the water,M
945,Janak,"father of Sita, creator",M
946,"Janamejay, Janardan ",Lord Vishnu,M
947,Janardan,one who helps people,M
948,Janav,protecting men,M
949,Janith,born,M
950,Janya,born,M
951,Japa ,chanting,M
952,Japan,muttering prayers,M
953,Japendra ,lord of chants-Lord Shiva,M
954,Japesh ,lord of chants-lord Shiva,M
955,Jasamit ,protected by fame,M
956,Jasapal ,very famous,M
957,Jasbeer ,victorious hero,M
958,Jashan ,celebration,M
959,Jashun,celebration,M
960,Jaspal ,Lord Krishna,M
961,Jasraj,king of fame,M
962,Jasveer,hero of fame,M
963,Jaswant,victorious (Yashwant),M
964,Jatan ,nurturing,M
965,Jatin ,pertaining ato saint,M
966,Jatya,pleasing,M
967,Javed ,immortal ,M
968,Javin,swift,M
969,Jawahar,jewel,M
970,Jayad,causing victory,M
971,Jayadeep,light of victory,M
972,Jayaditya,victorious sun,M
973,Jayant,victorious,M
974,Jayanta ,Lord Vishnu,M
975,Jayashekhar,crest of victory,M
976,Jaysukh,pleasure of victory,M
977,Jeemutbahan ,full of life,M
978,Jeevan,life,M
979,Jehangir,Akbar's son,M
980,Jenya,TRUE,M
981,Jhoomer ,ornament,M
982,Jignesh ,curiosity to research,M
983,Jihan ,the world,M
984,Jinendra,lord of life,M
985,Jishnu,triumphant,M
986,Jitendra,lord of conquerers,M
987,Jivitesh ,God,M
988,Jnyandeep,light of knowledge,M
989,Jnyaneshwar,god of wisdom,M
990,"Jogindra, Joginder ",Lord Shiva,M
991,Jograj ,Lord Krishna,M
992,Jugnu ,a firefly,M
993,Jujhar ,one who struggles,M
994,Jusal ,pari,M
995,Jyotichandra ,splendour,M
996,Jyotiprakash ,splendour of the flame,M
997,Jyotiranjan ,joyous flamae,M
998,Jyotirdhar ,holder of the flame,M
999,Jyotirmoy ,lustrous,M
1000,Kabir,famous sufi saint,M
1001,Kailas ,abode of Lord Shiva,M
1002,Kailash,"name of a Himalayan peak, abode of Shiva",M
1003,Kailashchandra,Lord Shiva,M
1004,Kailashnath ,Lord Shiva,M
1005,Kalapriya,lover of art,M
1006,Kalash ,sacred pot,M
1007,Kalicharan ,devotee of Goddess Kali,M
1008,Kalidas,"the poet, dramatist; slave of godess Kali",M
1009,Kalimohan ,a devotee of Goddess Kali,M
1010,Kalipada ,a devotee of Goddess Kali,M
1011,Kaliranjan ,devotee of Goddess Kali,M
1012,Kalith,understood,M
1013,Kalpa,"able, fit",M
1014,Kalya,pleasant,M
1015,Kalyan ,welfare,M
1016,Kamadev,god of love,M
1017,Kamal,lotus flower,M
1018,Kamalakar ,Lord Vishnu,M
1019,Kamalapati ,Lord Vishnu,M
1020,Kamalesh,lord of Kamala,M
1021,Kamalnayan ,lotus eyed,M
1022,Kaman,desired,M
1023,Kamat,unrestrained,M
1024,Kamik,desired,M
1025,Kamlesh,god of lotus,M
1026,Kamod ,a raga,M
1027,Kamraj ,cupid,M
1028,Kamran ,success,M
1029,Kamukh,passionate,M
1030,Kanad ,an ancient,M
1031,Kanak,gold,M
1032,Kanal,shining,M
1033,Kanan,forest,M
1034,Kanchan ,gold,M
1035,Kandan,cloud,M
1036,Kandarpa ,Cupid,M
1037,Kanha,Krishna,M
1038,Kanhaiya ,Lord Krishna,M
1039,Kanhaiyalal ,Lord Krishna,M
1040,Kanishka ,name of a king,M
1041,Kanishta,youngest,M
1042,Kantilal ,lustrous,M
1043,Kantimoy ,lustrous,M
1044,Kanu ,Lord Krishna,M
1045,Kanvar ,young prince,M
1046,Kanwal ,lotus,M
1047,Kanwaljeet ,lotus,M
1048,Kanwalkishore ,lotus; Lord krishna,M
1049,Kapil ,name of a sage,M
1050,Kapish ,Lord Hanuman,M
1051,Karan ,"Karna, the firstborn of Kunti",M
1052,Kareem ,kind,M
1053,Karna ,the firstborn of Kunti,M
1054,Karnik,judge,M
1055,Kartar ,master,M
1056,Kartik,name of one of the months,M
1057,Kartikeya,god of war,M
1058,Karun,compassionate,M
1059,Karunakar ,merciful,M
1060,Karunamay ,full of light,M
1061,Karunashankar ,merciful,M
1062,Kashif ,connoisseur,M
1063,Kashinath ,Lord Shiva,M
1064,Kashiprasad ,blessed by Lord Shiva,M
1065,Kashyap ,name of a sage,M
1066,Kathith,well recited,M
1067,Kaunteya,son of Kunti,M
1068,Kausar ,lake of paradise,M
1069,Kaushal,"clever, skilled",M
1070,Kaushik,sentiment of love,M
1071,Kaustav ,a legendary gem; a gem worn by Lord Vishnu,M
1072,Kaustubh ,a jewel of Lord Vishnu,M
1073,Kavan,"water, poem",M
1074,Kavi,"a wise man, poet",M
1075,Kaviraj ,doctor,M
1076,Kedar ,a raga,M
1077,Kedarnath ,Lord Shiva,M
1078,Keshav ,Lord Vishnu,M
1079,Ketan ,home; banner,M
1080,Kevalkishore,absolute,M
1081,Kevalkumar ,absolute,M
1082,Keyur ,armlet,M
1083,Khadim ,servant of God,M
1084,Khajit ,Lord Buddha,M
1085,Khalid ,immortal,M
1086,Khazana ,treasure,M
1087,Khemchand ,welfare,M
1088,Khemprakash ,welfare,M
1089,Khushal ,perfect,M
1090,Kinshuk ,a flower,M
1091,Kiran ,ray of light,M
1092,Kiranmay ,full of light,M
1093,Kirik,sparkling,M
1094,Kirit ,a crown,M
1095,Kirtikumar ,famous,M
1096,Kishore ,young,M
1097,Kishorekumar,young,M
1098,Kotijit,conquering millions,M
1099,Kovida,wise,M
1100,Kriday ,Lord Krishna,M
1101,Kripal ,merciful,M
1102,Krishanu ,fire,M
1103,Krishna ,Lord Krishna,M
1104,Krishnachandra,Lord Krishna,M
1105,Krishnadeva ,Lord Krishna,M
1106,Krishnakanta,Lord Krishna,M
1107,Krishnakumar,Lord Kirshna,M
1108,Krishnala ,Lord Krishna,M
1109,Krishnamurari,Lord Krishna,M
1110,Krishnamurthy,Lord Krishna,M
1111,Krishnaroop ,dark,M
1112,Krishnendu ,Lord Krishna,M
1113,Kshaunish ,king,M
1114,Kuber ,god of wealth,M
1115,Kuberchand ,god of wealth,M
1116,Kularanjan ,star of family,M
1117,Kulbhushan ,ornament of family,M
1118,Kuldeep ,light of family,M
1119,Kulik,well born,M
1120,Kumar ,prince,M
1121,Kunal ,son of emperor Ashok,M
1122,Kundan ,pure,M
1123,Kundanlal ,golden,M
1124,Kundir,strong,M
1125,Kunja ,grove of trees,M
1126,Kunjabihari ,Lord Krishna,M
1127,Kush ,son of Lord Rama,M
1128,Kushal ,clever,M
1129,Kusumakar ,spring,M
1130,Lagan ,appropriate time,M
1131,Lakshin ,with auspicious marks,M
1132,Lakshman,"prosperous, brother of Rama",M
1133,Lakshmibanta ,fortunate,M
1134,Lakshmidhar ,Lord Vishnu,M
1135,Lakshmigopal ,Lord vishnu,M
1136,Lakshmikanta ,Lord Vishnu,M
1137,Lalit,beautiful,M
1138,Lalitaditya,beautiful sun,M
1139,Lalitchandra,beautiful moon,M
1140,Lalitkishore ,beautiful,M
1141,Lalitkumar ,beautiful,M
1142,Lalitmohan,beautiful and attractive,M
1143,Lambodar ,Lord Ganesh,M
1144,Lankesh ,Ravana,M
1145,Latafat ,elegance,M
1146,Latif ,elegant,M
1147,"Lav, Luv ",son of Lord Rama,M
1148,Lavana ,handsome,M
1149,Lochan ,the eye,M
1150,Lohitaksha ,Lord Vishnu,M
1151,Lokajit ,conqueror of world,M
1152,Lokesh,king of world,M
1153,Loknath,lord of all worlds,M
1154,Lokprakash,light of the world,M
1155,Lokranjan ,Lord Vishnu,M
1156,Madan,"Cupid, god of love",M
1157,Madanapal,lord of Love,M
1158,Madangopal ,Lord Krishna,M
1159,Madhav,sweet like honey,M
1160,Madhavdas ,servant of Lord Krishna,M
1161,Madhu,"honey, nectar",M
1162,Madhuk ,a honeybee,M
1163,Madhukanta ,the moon,M
1164,Madhukar,"honey bee, lover",M
1165,Madhumay,consisting of honey,M
1166,Madhup ,a honeybee,M
1167,Madhur ,sweet,M
1168,Madhusudan ,Lord Krishna,M
1169,Madhusudhana,"Krishna, one who killed demon Madhu",M
1170,Madin,delightful,M
1171,Madur,a bird,M
1172,Magadh,son of Yadu,M
1173,Magan ,engrossed,M
1174,Mahabahu ,Arjuna,M
1175,Mahabala,great strength,M
1176,Mahadev,most powerful god,M
1177,Mahaj,a noblel descent,M
1178,Mahanidhi,a great treasure house,M
1179,Mahaniya ,worthy of honour,M
1180,Mahanth,great,M
1181,Maharath,a great charioteer,M
1182,Maharth,very truthful,M
1183,Mahavir,most courageous among men,M
1184,Maheepati,the king,M
1185,Mahendra,Indra,M
1186,Mahesh,Shiva,M
1187,Maheshwar ,Lord Shiva,M
1188,Mahijith,conqueror of the earth,M
1189,Mahin ,the earth,M
1190,Mahindra ,a king,M
1191,Mahipal ,a king,M
1192,Mahir,expert,M
1193,Mahish ,a king,M
1194,Mahith,honoured,M
1195,Mahmud ,the Prophet of Islam,M
1196,Mahtab ,the moon,M
1197,Mainak ,a mountain a Himalayan peak,M
1198,Maitreya,friend,M
1199,Makarand,bee,M
1200,Makul,a bud,M
1201,Makur,mirror,M
1202,Malay ,a mountain,M
1203,Manajith,one who conquered the mind,M
1204,Manas ,mind,M
1205,Manasi ,born of the mind,M
1206,Manasyu,"wishing, desiring",M
1207,Manav ,man,M
1208,Manavendra,king among men,M
1209,Mandan,adorning,M
1210,Mandar,flower,M
1211,Mandeep ,light of the mind,M
1212,Mandhatri,prince,M
1213,Mandin,delighting,M
1214,Mandir,temple,M
1215,Mandith,adorned,M
1216,Manendra,king of mind,M
1217,Mangal ,auspicious,M
1218,Mangesh ,Lord Shiva,M
1219,Mani ,a jewel,M
1220,Manibhushan ,supreme gem,M
1221,Manik,gem .... gem,M
1222,Manikandan ,another name for Lord Ayyappa,M
1223,Manindra,diamond,M
1224,Maniram,jewel of a person,M
1225,Manish,god of mind,M
1226,Manishankar,Shiva,M
1227,Manith,honoured,M
1228,Manjeet ,conqueror of the mind,M
1229,Manmatha ,Cupid,M
1230,Manmohan ,pleasing,M
1231,Mannan,meditate,M
1232,Mannath,a vow to a deity,M
1233,Mannith,chosen,M
1234,Manohar,one who wins over mind,M
1235,Manoj,born of mind,M
1236,Manonith,carried by the mind,M
1237,Manoranjan,one who pleases the mind,M
1238,Manoth,born of the mind,M
1239,Manprasad,mentally calm and cool person,M
1240,Mansukh,pleasure of mind,M
1241,Manth,thought,M
1242,Manu,founder father of human beings,M
1243,Manuj,son of Manu,M
1244,Manyu,mind,M
1245,Mardav ,softness,M
1246,Mareechi,ray of light,M
1247,Markandeya,a sage,M
1248,Martand,sun,M
1249,Martanda ,the sun,M
1250,Marut ,the wind,M
1251,Maruti ,Lord Hanuman,M
1252,Matsendra,king of the fishes,M
1253,Mayank,moon,M
1254,Mayanka ,the moon,M
1255,Mayur,peacock,M
1256,Megh ,cloud,M
1257,Megha ,a star,M
1258,Meghashyam ,Lord Krishna,M
1259,Meghdutt,gift of clouds,M
1260,Meghnad,thunder,M
1261,Mehboob ,beloved,M
1262,Mehdi ,a flower,M
1263,Mehmood ,the Prophet of Islam,M
1264,Mehul,rain,M
1265,Mekhal,"girdle, belt",M
1266,Meru,"famous mountain in Hindu mythology, high point",M
1267,Mihir,sun,M
1268,Milan ,union,M
1269,Milap ,union,M
1270,Milind,honey bee,M
1271,Milun ,union,M
1272,Mirza ,a prince,M
1273,Misal ,example,M
1274,Mitesh,one with few desires,M
1275,Mithil,kingdom,M
1276,Mithilesh ,"the king of Mithila, Janak, father of Sita",M
1277,Mithun,couple,M
1278,Mitra ,friend; the sun,M
1279,Mitul,limited,M
1280,Mohajit ,attractive,M
1281,Mohak ,attractive,M
1282,Mohal ,attractive,M
1283,Mohamad ,the Prophet,M
1284,Mohan,"charming, fascinating",M
1285,Mohin,attractive,M
1286,Mohit,ensnarled by beauty,M
1287,Mohnish ,Lord Krishna,M
1288,Mohul ,attractive,M
1289,Monish,lord of mind,M
1290,Moti ,pearl,M
1291,Motilal ,pearl,M
1292,Moulik ,valuable,M
1293,Mriganka ,the moon,M
1294,Mrigankamouli ,Lord Shiva,M
1295,Mrigankasekhar ,Lord Shiva,M
1296,Mrigendra ,lion,M
1297,Mrigesh ,lion,M
1298,Mrityunjay ,Lord Shiva,M
1299,Mubarak ,congratulations,M
1300,Mudita ,happy,M
1301,Muhamad ,the Prophet,M
1302,Mukesh,lord of the dumb,M
1303,Muktananda ,liberated,M
1304,Mukul,bud,M
1305,Mukunda,freedom giver,M
1306,Mukut ,crown,M
1307,Mulkraj ,king,M
1308,Mumtaz ,conspicuous,M
1309,Muni ,sage,M
1310,Murad ,prowess,M
1311,Murali ,flute,M
1312,Muralidhar ,Lord Krishna,M
1313,Muralimanohar ,Lord Krishna,M
1314,Murari ,Lord Krishna,M
1315,Murarilal ,Lord Krishna,M
1316,Musheer ,advice,M
1317,Nabarun ,morning sun,M
1318,Nabendu ,new moon,M
1319,Nabhanyu,eternal,M
1320,Nabhas,sky,M
1321,Nabhi ,focus; the best,M
1322,Nabhith,fearless,M
1323,Nabhya,central,M
1324,Nachiketa,"an ancient rishi, fire",M
1325,Nadal,fortunate,M
1326,Nadin,lord of rivers,M
1327,Nadir ,pinnacle,M
1328,Nagarin,lord of a town,M
1329,Nagarjun,best among the snakes,M
1330,Nagendra ,Seshnag,M
1331,Nagesh ,"Seshnag, Cosmic Serpent",M
1332,Nahusha ,a mythological king,M
1333,Nairit ,south-west,M
1334,Naishadh ,"King Nala, a hero from the Mahabharata who was king of Nishadha",M
1335,Nakshatra ,star,M
1336,Nakul ,name of one of the Pandavas,M
1337,Nalin,"lotus, water",M
1338,Nalinaksha ,lotus-eyed,M
1339,Naman ,salutation,M
1340,Namasyu,bowing,M
1341,Nambi,self confident,M
1342,Namdev,"poet, saint",M
1343,Nanak ,guru fo the Sikhs,M
1344,Nand ,joyful,M
1345,Nanda,"meritorious, great achiever",M
1346,Nandakishor,wiz kid,M
1347,Nandan,"pleasing, son",M
1348,Nandi,one who pleases others,M
1349,Nandin,"son, delightful",M
1350,Naotau ,new,M
1351,Narahari ,Lord Vishnu,M
1352,Narasimha ,an incarnation of Lord Vishnu,M
1353,Narayan ,Lord Vishnu,M
1354,Narayana,"Vishnu, refuge of man",M
1355,Narendra,king of men,M
1356,Naresh,lord of man,M
1357,Narhari,man-lion,M
1358,Narinder ,the King,M
1359,Narmad,bringing delight,M
1360,Narottam,best among men,M
1361,Narsimha,lion among men,M
1362,Nartan,dance,M
1363,Narun,leader of men,M
1364,Natesh ,king,M
1365,Nathan,controller,M
1366,Nathin,protected,M
1367,Natraj,king among actors,M
1368,Natwar ,Lord Krishna,M
1369,Naval ,wonder,M
1370,Navalan,orator,M
1371,Navaneet ,butter,M
1372,Naveen,new,M
1373,Navin,new,M
1374,Navnit,fresh butter,M
1375,Navrang ,beautiful,M
1376,Navroz ,a Parsee festival,M
1377,Nayan,eye,M
1378,Nayath,leading,M
1379,Nedumaan,prince,M
1380,Nedumaran,tall and handsome,M
1381,Neel,blue,M
1382,Neeladri ,the Nilgiris,M
1383,Neelam,emerald,M
1384,Neelambar ,blue sky,M
1385,Neelanjan ,blue,M
1386,Neelesh ,Lord Krishna; moon,M
1387,Neelkanta ,Lord Shiva,M
1388,Neelkanth,"peacock, Shiva",M
1389,Neelmadhav ,Lord Jagannath,M
1390,Neelmani ,sapphire,M
1391,Neelotpal ,blue lotus,M
1392,Neeraf ,river,M
1393,Neeraj,lotus,M
1394,Nibodh ,knowledge,M
1395,Nidhish,lord of treasure,M
1396,Nigam ,treasure,M
1397,Nihal ,gratified,M
1398,Nihar,"mist, fog, dew",M
1399,Niket ,home,M
1400,Nikhat ,fragrance,M
1401,Nikhil,"complete, whole",M
1402,Nikhilesh ,lord of all,M
1403,Nikunj,a bower,M
1404,Nikunja ,grove of trees,M
1405,Nilay,heaven,M
1406,Nilesh,"Krishna, blue god",M
1407,Nimai ,Chaitanya,M
1408,Nimish,spilt-second,M
1409,Ninad,"sound, gentle sound of water",M
1410,Nipun ,expert,M
1411,Nirad,given by water,M
1412,Niraj,lotus flower,M
1413,Nirajit ,illuminated,M
1414,Niral,unique,M
1415,Niramay ,without blemish,M
1416,Niramitra,son of pandava Sahadeva,M
1417,Niranjan,simple,M
1418,Nirav,without sound,M
1419,Nirbhay ,fearless,M
1420,Nirijhar ,waterful,M
1421,Nirmal,"clean, pure",M
1422,Nirmalya ,pure,M
1423,Nirmanyu,free of anger,M
1424,Nirmit ,created,M
1425,Nirmohi ,unattached,M
1426,Nirupam ,without comparison,M
1427,Nirvan ,liberation,M
1428,Nischal ,calm,M
1429,Nischith,fixed,M
1430,Nishad,seventh note on Indian musical scale,M
1431,Nishanath ,moon,M
1432,Nishant ,dawn,M
1433,Nishesh ,entire,M
1434,Nishikanta ,the moon,M
1435,Nishit,midnight,M
1436,Nishita ,sharp,M
1437,Nishith ,night,M
1438,Nishkama ,selfless,M
1439,Nishok ,happy,M
1440,Nissim ,unbounded,M
1441,Niteesh,"god of law, one well versed in law",M
1442,Nithik ,master of justice,M
1443,Nithilan,brilliant like a pearl,M
1444,Nitin ,master of the right path,M
1445,Nitish ,master of the right path,M
1446,Nityagopal ,constant,M
1447,Nityanand,perennially happy,M
1448,Nityananda ,Lord Krishna; always happy,M
1449,Nityasundar,ever good-looking,M
1450,Nivrutti,separation from world,M
1451,Niyath,behaviour,M
1452,Nripa ,king,M
1453,Nripendra,king of kings,M
1454,Nripesh ,king of kings,M
1455,Oha,"meditation, true knowledge",M
1456,Ohas,praise,M
1457,Ojas,body strength,M
1458,Om ,the sacred syllable,M
1459,Omanand,joy of Om,M
1460,Omar ,an era,M
1461,Omja ,born of cosmic unity,M
1462,Omkar ,the sound of the sacred syllable,M
1463,Omprakash,light of Om,M
1464,"Omrao, Umrao ",king,M
1465,Omswaroop ,manifestation of divinity,M
1466,Oojam,enthusiasm,M
1467,Oorjit,powerful,M
1468,Oppilmani ,purest of gems,M
1469,Ori ,charitable king,M
1470,"Osman, Usman ",salve of God,M
1471,Ottakoothan ,poet,M
1472,Oviyan ,artist,M
1473,Paavan ,purifier,M
1474,Pachai ,"youthful, resourceful",M
1475,Pachaimani ,"youthful, resourceful",M
1476,Pachaimuthu ,"youthful, resourceful",M
1477,Padman ,lotus,M
1478,Padmanabh,one with lotus in his navel i.e. Vishnu,M
1479,Padmanabha ,Lord Vishnu,M
1480,Padmapati ,Lord Vishnu,M
1481,Palak ,eyelash,M
1482,Palani ,Abode of Lord Murugan,M
1483,Palaniappan ,another name for Lord Murugan,M
1484,Palanikumar ,another name for Lord Murugan,M
1485,Palanimurugan ,another name for Lord Murugan,M
1486,Palanisami ,another name for Lord Murugan,M
1487,Palanivel ,another name for Lord Murugan,M
1488,Palash ,a flowering,M
1489,Palashkusum ,the flower of Palash,M
1490,Palashranjan ,beautiful like a Palash,M
1491,Pallav,young shoots and leaves,M
1492,Panchanan ,Lord Shiva,M
1493,Pandhari ,Lord Vithobha,M
1494,Panduranga,one with pale white complexion,M
1495,Panini ,the great scholar-grammarian,M
1496,Pankaj,lotus flower,M
1497,Panmoli ,speaks sweetly,M
1498,Pannalal ,emerald,M
1499,Parag,pollen grains,M
1500,Parakram ,strength,M
1501,Param ,the best,M
1502,Paramananda ,superlative joy,M
1503,Paramartha,highest truth,M
1504,Paramesh ,Lord Shiva,M
1505,Parameshwar ,Alimightly Lord,M
1506,Paramhansa ,supreme soul,M
1507,Paramjeet,highest success,M
1508,Paranjay ,Varun; Lord of the Sea,M
1509,Parantapa ,conqueror; Arjuna,M
1510,Paras ,touchstone,M
1511,Parashar ,an ancient,M
1512,Parashuram ,sixth incarnation of Lord Vishnu,M
1513,Parasmani ,touchstone,M
1514,Paravasu ,name of a sage,M
1515,Parees,touch stone,M
1516,Paresh,supreme spirit,M
1517,Pari ,charitable prince,M
1518,Parijat ,a celestial flower,M
1519,Pariket,against desire,M
1520,Parikshit ,name of an ancient king,M
1521,Parimal ,fragrance,M
1522,Parin ,another name for Lord Ganesha,M
1523,Parindra,lion,M
1524,Paritosh,contentment,M
1525,Parnad ,a Brahmin in the qpics,M
1526,Partha,Arjun,M
1527,Parthapratim ,like Arjuna,M
1528,Parvatinandan ,Lord Ganesh,M
1529,Parvesh ,Lord of celebration,M
1530,Pasupati ,Lord Shiva,M
1531,Patakin ,holder of a banner,M
1532,Patanjali ,famous Yoga philosopher,M
1533,Pathik ,a traveller,M
1534,Pathin ,traveller,M
1535,Patralika ,new leaves,M
1536,Pavak ,fire,M
1537,Pavalan ,skilled in literature,M
1538,Pavan,wind,M
1539,Pavani ,Hanuman,M
1540,Pavitra ,pure,M
1541,Payas ,water,M
1542,Payod ,cloud,M
1543,Peeyush ,nectar,M
1544,Perumal ,Lord Venkateshwara,M
1545,Phalgun,. A month in Hindu Calander,M
1546,Phaninath,. lord of serpents,M
1547,Phanindra,. king of gods,M
1548,Phanishwar,. king of serpents,M
1549,Phenil ,foamy,M
1550,Phoolendu,. full moon,M
1551,Pinak,Shiva's bow,M
1552,Pinaki ,Lord Krishna,M
1553,Pirmohammed ,rhw holy prophet,M
1554,Pitambar ,Lord Vishnu,M
1555,Piyush,milk,M
1556,Ponnan ,precious,M
1557,Poojan ,worship,M
1558,Poojit ,worshipped,M
1559,Poorna ,complete,M
1560,Poornachandra ,full moon,M
1561,Prabal ,coral,M
1562,Prabhakar,sun,M
1563,Prabhas ,lustrous,M
1564,Prabhat,dawn,M
1565,Prabhav ,effect,M
1566,Prabir,"hero, brave one (Praveer)",M
1567,Prabodh,sound advice,M
1568,Prabodhan,knowledge,M
1569,Prabuddha ,awakened,M
1570,Prachetas ,energy,M
1571,Prachur ,abundant,M
1572,Pradeep,"light, shine",M
1573,Pradnesh,lord of wisdom,M
1574,Pradosh ,dusk,M
1575,Pradyot ,lustre,M
1576,Pradyumna ,cupid,M
1577,Pradyun ,radiant,M
1578,Praful ,blooming,M
1579,Prafulla,"pleasant, cheerful",M
1580,Pragun ,straight; honest,M
1581,Prahlad,excess of joy,M
1582,Prajeet,victorious,M
1583,Prajesh ,Lord Brahma,M
1584,Prajin ,kind,M
1585,Prajit ,kind,M
1586,Prakash,light,M
1587,"Prakash, Parkash ",light,M
1588,Prakat ,mainfested,M
1589,Prakriti ,nature,M
1590,Pralay ,Himalay,M
1591,Pramath,horse,M
1592,Pramesh,master of accurate knowledge,M
1593,Pramit,consciousness,M
1594,Pramod,delight,M
1595,Pran,life,M
1596,Pranav,the sacred syllable Om,M
